airline,airline id,source airport,source airport id,destination airport,destination airport id,codeshare,stops,equipment
DE,1868,ACE,1055,SXF,337,,0,32S
DE,1868,FUE,1051,SXF,337,,0,321
DE,1868,LPA,1054,SXF,337,,0,321
DE,1868,PMI,3998,SXF,337,,0,321
DE,1868,TFS,1056,SXF,337,,0,321
DE,1868,XRY,1226,SXF,337,,0,32S
DY,3737,BCN,1218,SXF,337,,0,73H
EI,837,DUB,599,SXF,337,,0,320
FR,4296,EMA,523,SXF,337,,0,738
FR,4296,SNN,603,SXF,337,,0,738
FR,4296,STN,548,SXF,337,,0,738
TP,4869,LIS,1638,SXF,337,,0,319 320
U2,2297,AGP,1230,SXF,337,,0,320 319
U2,2297,AMS,580,SXF,337,,0,319 320
U2,2297,BRS,490,SXF,337,,0,319
U2,2297,BSL,1423,SXF,337,,0,320 319
U2,2297,EDI,535,SXF,337,,0,319
U2,2297,GLA,534,SXF,337,,0,319
U2,2297,LGW,502,SXF,337,,0,319 320
U2,2297,LPL,491,SXF,337,,0,319
U2,2297,LTN,492,SXF,337,,0,320 319
U2,2297,LYS,1335,SXF,337,,0,319
U2,2297,MAD,1229,SXF,337,,0,320 319
U2,2297,MAN,478,SXF,337,,0,320 319
U2,2297,NCE,1354,SXF,337,,0,319
U2,2297,ORY,1386,SXF,337,,0,320
U2,2297,SEN,508,SXF,337,,0,319
4U,2548,CGN,344,DRS,338,,0,319 CRJ
4U,2548,DUS,345,DRS,338,,0,319 CRJ
4U,2548,STR,350,DRS,338,,0,319 CRJ
AB,214,PMI,3998,DRS,338,,0,738 321
AB,214,TFS,1056,DRS,338,,0,738
AF,137,LCY,503,DRS,338,Y,0,AR8
IB,2822,BCN,1218,DRS,338,Y,0,320
LH,3320,FRA,340,DRS,338,,0,735 733 32A E90
LH,3320,MUC,346,DRS,338,,0,E95
U2,2297,BSL,1423,DRS,338,,0,319 320
ST,2547,FUE,1051,ERF,339,,0,73G
ST,2547,LGW,502,ERF,339,,0,319
ST,2547,LPA,1054,ERF,339,,0,73G
ST,2547,PMI,3998,ERF,339,,0,73G
ST,2547,TFS,1056,ERF,339,,0,73G
4U,2548,HDF,5557,FRA,340,,0,CRJ
AA,24,LHR,507,FRA,340,Y,0,319 320
AB,214,ALC,1212,FRA,340,,0,320
AB,214,IBZ,1225,FRA,340,,0,320
AB,214,LCY,503,FRA,340,Y,0,E70 E90 AR8
AB,214,MAD,1229,FRA,340,Y,0,32A
AB,214,PMI,3998,FRA,340,,0,321 320 332
AB,214,TXL,351,FRA,340,,0,738 73G 319 320 DH4
AC,330,VLC,1246,FRA,340,Y,0,319
AF,137,CDG,1382,FRA,340,,0,318
BM,312,BRS,490,FRA,340,,0,ER4
CY,1942,MUC,346,FRA,340,,0,320
DE,1868,ACE,1055,FRA,340,,0,757
DE,1868,FNC,4091,FRA,340,,0,757
