Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database time zone,Type,Source
317,Flugplatz Bautzen,Bautzen,Germany,,EDAB,51.193611,14.519722,568,1.0,E,Europe/Berlin,airport,OurAirports
318,Altenburg-Nobitz Airport,Altenburg,Germany,AOC,EDAC,50.981945,12.506389,640,1.0,E,Europe/Berlin,airport,OurAirports
319,Dessau Airfield,Dessau,Germany,,EDAD,51.831694,12.190962,187,1.0,E,Europe/Berlin,airport,OurAirports
320,Eisenhüttenstadt Airfield,Eisenhuettenstadt,Germany,,EDAE,52.195856,14.58753,144,1.0,E,Europe/Berlin,airport,OurAirports
322,Großenhain Airport,Suhl,Germany,,EDAK,51.30805587768555,13.555556297302246,417,1.0,E,Europe/Berlin,airport,OurAirports
323,Merseburg Airport,Muehlhausen,Germany,,EDAM,51.3630556,11.9408333,341,1.0,E,Europe/Berlin,airport,OurAirports
324,Halle-Oppin Airport,Halle,Germany,,EDAQ,51.552223,12.053889,348,1.0,E,Europe/Berlin,airport,OurAirports
325,Riesa-Göhlis Airport,Riesa,Germany,IES,EDAU,51.2936096191,13.3561105728,322,1.0,E,Europe/Berlin,airport,OurAirports
326,Rechlin-Lärz Airport,Rechlin-laerz,Germany,REB,EDAX,53.306388855,12.7522220612,220,1.0,E,Europe/Berlin,airport,OurAirports
327,Strausberg Airport,Strausberg,Germany,,EDAY,52.5805549621582,13.916666984558104,262,1.0,E,Europe/Berlin,airport,OurAirports
328,Schönhagen Airport,Schoenhagen,Germany,QXH,EDAZ,52.203609,13.156389,152,1.0,E,Europe/Berlin,airport,OurAirports
329,Barth Airport,Barth,Germany,BBH,EDBH,54.338253,12.710515,23,1.0,E,Europe/Berlin,airport,OurAirports
330,Jena-Schöngleina Airfield,Jena,Germany,,EDBJ,50.915279,11.714444,1247,1.0,E,Europe/Berlin,airport,OurAirports
331,Kyritz Airport,Kyritz,Germany,,EDBK,52.918888092041016,12.425277709960938,131,1.0,E,Europe/Berlin,airport,OurAirports
332,"Magdeburg ""City"" Airport",Magdeburg,Germany,ZMG,EDBM,52.073612,11.626389,259,1.0,E,Europe/Berlin,airport,OurAirports
333,Rothenburg/Görlitz Airport,Rothenburg/ol,Germany,,EDBR,51.36333465576172,14.949999809265137,518,1.0,E,Europe/Berlin,airport,OurAirports
334,Anklam Airfield,Anklam,Germany,,EDCA,53.832779,13.668611,16,1.0,E,Europe/Berlin,airport,OurAirports
335,Cottbus-Drewitz Airport,Cottbus,Germany,CBU,EDCD,51.889442,14.531944,272,1.0,E,Europe/Berlin,airport,OurAirports
336,Kamenz Airport,Kamenz,Germany,,EDCM,51.29694366455078,14.1274995803833,495,1.0,E,Europe/Berlin,airport,OurAirports
337,Berlin-Schönefeld Airport,Berlin,Germany,SXF,EDDB,52.380001,13.5225,157,1.0,E,Europe/Berlin,airport,OurAirports
338,Dresden Airport,Dresden,Germany,DRS,EDDC,51.1328010559082,13.767200469970703,755,1.0,E,Europe/Berlin,airport,OurAirports
339,Erfurt Airport,Erfurt,Germany,ERF,EDDE,50.97980117797852,10.958100318908691,1036,1.0,E,Europe/Berlin,airport,OurAirports
340,Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.033333,8.570556,364,1.0,E,Europe/Berlin,airport,OurAirports
341,Münster Osnabrück Airport,Munster,Germany,FMO,EDDG,52.134601593,7.68483018875,160,1.0,E,Europe/Berlin,airport,OurAirports
342,Hamburg Airport,Hamburg,Germany,HAM,EDDH,53.630401611328,9.9882297515869,53,1.0,E,Europe/Berlin,airport,OurAirports
343,Berlin-Tempelhof International Airport,Berlin,Germany,THF,EDDI,52.47299957275391,13.403900146484377,167,1.0,E,Europe/Berlin,airport,OurAirports
344,Cologne Bonn Airport,Cologne,Germany,CGN,EDDK,50.8658981323,7.1427397728,302,1.0,E,Europe/Berlin,airport,OurAirports
345,Düsseldorf Airport,Duesseldorf,Germany,DUS,EDDL,51.289501,6.76678,147,1.0,E,Europe/Berlin,airport,OurAirports
346,Munich Airport,Munich,Germany,MUC,EDDM,48.353802,11.7861,1487,1.0,E,Europe/Berlin,airport,OurAirports
347,Nuremberg Airport,Nuernberg,Germany,NUE,EDDN,49.498699,11.078056,1046,1.0,E,Europe/Berlin,airport,OurAirports
348,Leipzig/Halle Airport,Leipzig,Germany,LEJ,EDDP,51.423889,12.236389,465,1.0,E,Europe/Berlin,airport,OurAirports
349,Saarbrücken Airport,Saarbruecken,Germany,SCN,EDDR,49.2145996094,7.10950994492,1058,1.0,E,Europe/Berlin,airport,OurAirports
350,Stuttgart Airport,Stuttgart,Germany,STR,EDDS,48.6898994446,9.22196006775,1276,1.0,E,Europe/Berlin,airport,OurAirports
351,Berlin-Tegel Airport,Berlin,Germany,TXL,EDDT,52.5597,13.2877,122,1.0,E,Europe/Berlin,airport,OurAirports
352,Hannover Airport,Hannover,Germany,HAJ,EDDV,52.461101532,9.68507957458,183,1.0,E,Europe/Berlin,airport,OurAirports
353,Bremen Airport,Bremen,Germany,BRE,EDDW,53.0475006104,8.78666973114,14,1.0,E,Europe/Berlin,airport,OurAirports
354,Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,EDFE,49.959999,8.645833,384,1.0,E,Europe/Berlin,airport,OurAirports
355,Frankfurt-Hahn Airport,Hahn,Germany,HHN,EDFH,49.9487,7.26389,1649,1.0,E,Europe/Berlin,airport,OurAirports
356,Mannheim-City Airport,Mannheim,Germany,MHG,EDFM,49.473057,8.514167,308,1.0,E,Europe/Berlin,airport,OurAirports
357,Allendorf/Eder Airport,Allendorf,Germany,,EDFQ,51.03499984741211,8.680832862854004,1158,1.0,E,Europe/Berlin,airport,OurAirports
358,Worms Airport,Worms,Germany,,EDFV,49.606945,8.368333,295,1.0,E,Europe/Berlin,airport,OurAirports
359,Mainz-Finthen Airport,Mainz,Germany,,EDFZ,49.967499,8.147222,525,1.0,E,Europe/Berlin,airport,OurAirports
360,Eisenach-Kindel Airport,Eisenach,Germany,EIB,EDGE,50.991604,10.47973,1112,1.0,E,Europe/Berlin,airport,OurAirports
361,Siegerland Airport,Siegerland,Germany,SGE,EDGS,50.70769882202149,8.082969665527344,1966,1.0,E,Europe/Berlin,airport,OurAirports
362,Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,EDHI,53.5352783203125,9.835556030273438,23,1.0,E,Europe/Berlin,airport,OurAirports
363,Kiel-Holtenau Airport,Kiel,Germany,KEL,EDHK,54.37944412231445,10.145277976989746,102,1.0,E,Europe/Berlin,airport,OurAirports
364,Lübeck Blankensee Airport,Luebeck,Germany,LBC,EDHL,53.8054008484,10.7192001343,53,1.0,E,Europe/Berlin,airport,OurAirports
365,Flugplatz Dahlemer Binz,Dahlemer Binz,Germany,,EDKV,50.405555725,6.5288891792,1896,1.0,E,Europe/Berlin,airport,OurAirports
366,Meinerzhagen Airport,Meinerzhagen,Germany,,EDKZ,51.09999847412109,7.599999904632568,1549,1.0,E,Europe/Berlin,airport,OurAirports
367,Arnsberg-Menden Airport,Arnsberg,Germany,,EDLA,51.48389053344727,7.8983330726623535,794,1.0,E,Europe/Berlin,airport,OurAirports
368,Essen Mulheim Airport,Essen,Germany,ESS,EDLE,51.40230178833008,6.9373297691345215,424,1.0,E,Europe/Berlin,airport,OurAirports
369,Bielefeld Airport,Bielefeld,Germany,BFE,EDLI,51.964722,8.544444,454,1.0,E,Europe/Berlin,airport,OurAirports
370,Mönchengladbach Airport,Moenchengladbach,Germany,MGL,EDLN,51.230278,6.504444,125,1.0,E,Europe/Berlin,airport,OurAirports
371,Paderborn Lippstadt Airport,Paderborn,Germany,PAD,EDLP,51.6141014099,8.616319656369999,699,1.0,E,Europe/Berlin,airport,OurAirports
372,Stadtlohn-Vreden Airport,Stadtlohn,Germany,,EDLS,51.99583435058594,6.840556144714356,157,1.0,E,Europe/Berlin,airport,OurAirports
373,Dortmund Airport,Dortmund,Germany,DTM,EDLW,51.51829910279999,7.61223983765,425,1.0,E,Europe/Berlin,airport,OurAirports
374,Augsburg Airport,Augsburg,Germany,AGB,EDMA,48.425278,10.931667,1516,1.0,E,Europe/Berlin,airport,OurAirports
375,Biberach a.d. Riß Airfield,Biberach,Germany,,EDMB,48.111111,9.762778,1903,1.0,E,Europe/Berlin,airport,OurAirports
376,Eggenfelden Airport,Eggenfelden,Germany,,EDME,48.39611053466797,12.723610877990724,1342,1.0,E,Europe/Berlin,airport,OurAirports
377,Mindelheim-Mattsies Airfield,Mindelheim,Germany,,EDMN,48.106945,10.525,1857,1.0,E,Europe/Berlin,airport,OurAirports
378,Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,OBF,EDMO,48.081402,11.2831,1947,1.0,E,Europe/Berlin,airport,OurAirports
379,Straubing Airport,Straubing,Germany,RBM,EDMS,48.90083312988281,12.516667366027832,1047,1.0,E,Europe/Berlin,airport,OurAirports
380,Vilshofen Airport,Vilshofen,Germany,,EDMV,48.6349983215332,13.195555686950684,991,1.0,E,Europe/Berlin,airport,OurAirports
381,Leutkirch-Unterzeil Airport,Leutkirch,Germany,,EDNL,47.85889053344727,10.014166831970217,2100,1.0,E,Europe/Berlin,airport,OurAirports
382,Friedrichshafen Airport,Friedrichshafen,Germany,FDH,EDNY,47.6712989807,9.51148986816,1367,1.0,E,Europe/Berlin,airport,OurAirports
383,Schwerin Parchim Airport,Parchim,Germany,SZW,EDOP,53.426998,11.7834,166,1.0,E,Europe/Berlin,airport,OurAirports
384,Stendal-Borstel Airport,Stendal,Germany,,EDOV,52.62888717651367,11.818611145019531,184,1.0,E,Europe/Berlin,airport,OurAirports
385,Aalen-Heidenheim/Elchingen Airport,Aalen-heidenheim,Germany,,EDPA,48.77777862548828,10.264721870422363,1916,1.0,E,Europe/Berlin,airport,OurAirports
386,Bayreuth Airport,Bayreuth,Germany,BYU,EDQD,49.985001,11.64,1601,1.0,E,Europe/Berlin,airport,OurAirports
387,Burg Feuerstein Airport,Burg Feuerstein,Germany,URD,EDQE,49.794166564941,11.133610725403,1673,1.0,E,Europe/Berlin,airport,OurAirports
388,Hof-Plauen Airport,Hof,Germany,HOQ,EDQM,50.288612365722656,11.856389045715332,1959,1.0,E,Europe/Berlin,airport,OurAirports
389,Haßfurt-Schweinfurt Airport,Hassfurt,Germany,,EDQT,50.0180549621582,10.529443740844728,719,1.0,E,Europe/Berlin,airport,OurAirports
390,Koblenz-Winningen Airfield,Koblenz,Germany,,EDRK,50.325558,7.528611,640,1.0,E,Europe/Berlin,airport,OurAirports
391,Trier-Föhren Airport,Trier,Germany,,EDRT,49.863888,6.7875,666,1.0,E,Europe/Berlin,airport,OurAirports
392,Speyer Airfield,Speyer,Germany,,EDRY,49.304722,8.451389,312,1.0,E,Europe/Berlin,airport,OurAirports
393,Zweibrücken Airport,Zweibruecken,Germany,ZQW,EDRZ,49.2094,7.40056,1132,1.0,E,Europe/Berlin,airport,OurAirports
394,Donaueschingen-Villingen Airport,Donaueschingen,Germany,ZQL,EDTD,47.97333145139999,8.52222156525,2231,1.0,E,Europe/Berlin,airport,OurAirports
395,Freiburg i. Br. Airport,Freiburg,Germany,,EDTF,48.022777557400005,7.83249998093,801,1.0,E,Europe/Berlin,airport,OurAirports
396,Mengen-Hohentengen Airport,Mengen,Germany,,EDTM,48.05389022827149,9.372777938842772,1818,1.0,E,Europe/Berlin,airport,OurAirports
